Common Name,Scientific Name
African Blue Tit,Cyanistes teneriffae
African Darter,Anhinga rufa
African Houbara,Chlamydotis undulata
Alpine Accentor,Prunella collaris
Alpine Swift,Tachymarptis melba
Aquatic Warbler,Acrocephalus paludicola
Arctic Jaeger,Stercorarius parasiticus
Arctic Loon,Gavia arctica
Arctic Tern,Sterna paradisaea
Arctic Warbler,Phylloscopus borealis
Armenian Gull,Larus armenicus
Asian Desert Warbler,Curruca nana
Asian Houbara,Chlamydotis macqueenii
Atlantic Puffin,Fratercula arctica
Audouin's Gull,Larus audouinii
Audubon's Shearwater,Puffinus lherminieri
Azores Bullfinch,Pyrrhula murina
Azure Tit,Cyanistes cyanus
Baillon's Crake,Zapornia pusilla
Baird's Sandpiper,Calidris bairdii
Balearic Shearwater,Puffinus mauretanicus
Balearic Warbler,Curruca balearica
Band-rumped Storm-petrel,Hydrobates castro
Bar-tailed Godwit,Limosa lapponica
Barbary Partridge,Alectoris barbara
Barn Swallow,Hirundo rustica
Barnacle Goose,Branta leucopsis
Barred Warbler,Curruca nisoria
Barrow's Goldeneye,Bucephala islandica
Bean Goose,Anser fabalis
Bearded Reedling,Panurus biarmicus
Bearded Vulture,Gypaetus barbatus
Berthelot's Pipit,Anthus berthelotii
Bimaculated Lark,Melanocorypha bimaculata
Black Francolin,Francolinus francolinus
Black Grouse,Lyrurus tetrix
Black Guillemot,Cepphus grylle
Black Kite,Milvus migrans
Black Lark,Melanocorypha yeltoniensis
Black Redstart,Phoenicurus ochruros
Black Stork,Ciconia nigra
Black Tern,Chlidonias niger
Black Wheatear,Oenanthe leucura
Black Woodpecker,Dryocopus martius
Black-bellied Sandgrouse,Pterocles orientalis
Black-crowned Night-heron,Nycticorax nycticorax
Black-eared Wheatear,Oenanthe hispanica
Black-headed Bunting,Emberiza melanocephala
Black-headed Gull,Larus ridibundus
Black-legged Kittiwake,Rissa tridactyla
Black-necked Grebe,Podiceps nigricollis
Black-tailed Godwit,Limosa limosa
Black-throated Accentor,Prunella atrogularis
Black-throated Thrush,Turdus atrogularis
Black-winged Kite,Elanus caeruleus
Black-winged Pratincole,Glareola nordmanni
Black-winged Stilt,Himantopus himantopus
Blue Rock-thrush,Monticola solitarius
Blue-cheeked Bee-eater,Merops persicus
Bluethroat,Cyanecula svecica
Blyth's Reed-warbler,Acrocephalus dumetorum
Bohemian Waxwing,Bombycilla garrulus
Bonelli's Eagle,Aquila fasciata
Booted Eagle,Hieraaetus pennatus
Booted Warbler,Iduna caligata
Boreal Owl,Aegolius funereus
Brambling,Fringilla montifringilla
Brent Goose,Branta bernicla
Broad-billed Sandpiper,Calidris falcinellus
Brown Fish-owl,Ketupa zeylonensis
Bulwer's Petrel,Bulweria bulwerii
Calandra Lark,Melanocorypha calandra
Canada Goose,Branta canadensis
Canary Islands Chiffchaff,Phylloscopus canariensis
Carrion Crow,Corvus corone
Caspian Gull,Larus cachinnans
Caspian Plover,Charadrius asiaticus
Caspian Snowcock,Tetraogallus caspius
Caspian Tern,Hydroprogne caspia
Caspian Tit,Poecile hyrcanus
Cattle Egret,Bubulcus ibis
Caucasian Grouse,Lyrurus mlokosiewiczi
Caucasian Snowcock,Tetraogallus caucasicus
Cetti's Warbler,Cettia cetti
Chestnut-shouldered Bush-sparrow,Gymnoris xanthocollis
Chukar,Alectoris chukar
Cinereous Bunting,Emberiza cineracea
Cinereous Vulture,Aegypius monachus
Cirl Bunting,Emberiza cirlus
Citril Finch,Carduelis citrinella
Citrine Wagtail,Motacilla citreola
Coal Tit,Periparus ater
Collared Flycatcher,Ficedula albicollis
Collared Pratincole,Glareola pratincola
Collared Sand Martin,Riparia riparia
Common Barn-owl,Tyto alba
Common Buttonquail,Turnix sylvaticus
Common Chaffinch,Fringilla coelebs
Common Chiffchaff,Phylloscopus collybita
Common Coot,Fulica atra
Common Crane,Grus grus
Common Cuckoo,Cuculus canorus
Common Eider,Somateria mollissima
Common Firecrest,Regulus ignicapilla
Common Goldeneye,Bucephala clangula
Common Grasshopper-warbler,Locustella naevia
Common Greenshank,Tringa nebularia
Common Gull-billed Tern,Gelochelidon nilotica
Common Hoopoe,Upupa epops
Common Kestrel,Falco tinnunculus
Common Kingfisher,Alcedo atthis
Common Linnet,Linaria cannabina
Common Little Bittern,Ixobrychus minutus
Common Loon,Gavia immer
Common Moorhen,Gallinula chloropus
Common Murre,Uria aalge
Common Nightingale,Luscinia megarhynchos
Common Pheasant,Phasianus colchicus
Common Pochard,Aythya ferina
Common Quail,Coturnix coturnix
Common Raven,Corvus corax
Common Redshank,Tringa totanus
Common Redstart,Phoenicurus phoenicurus
Common Reed-warbler,Acrocephalus scirpaceus
Common Ringed Plover,Charadrius hiaticula
Common Rosefinch,Carpodacus erythrinus
Common Sandpiper,Actitis hypoleucos
Common Scoter,Melanitta nigra
Common Shelduck,Tadorna tadorna
Common Snipe,Gallinago gallinago
Common Starling,Sturnus vulgaris
Common Stonechat,Saxicola torquatus
Common Swift,Apus apus
Common Teal,Anas crecca
Common Tern,Sterna hirundo
Common Whitethroat,Curruca communis
Common Woodpigeon,Columba palumbus
Corn Bunting,Emberiza calandra
Corncrake,Crex crex
Corsican Finch,Carduelis corsicana
Corsican Nuthatch,Sitta whiteheadi
Cory's Shearwater,Calonectris borealis
Cream-coloured Courser,Cursorius cursor
Crested Lark,Galerida cristata
Crested Tit,Lophophanes cristatus
Cretzschmar's Bunting,Emberiza caesia
Curlew Sandpiper,Calidris ferruginea
Cyprus Scops-owl,Otus cyprius
Cyprus Warbler,Curruca melanothorax
Cyprus Wheatear,Oenanthe cypriaca
Dalmatian Pelican,Pelecanus crispus
Dark-tailed Laurel-pigeon,Columba bollii
Dartford Warbler,Curruca undata
Dead Sea Sparrow,Passer moabiticus
Demoiselle Crane,Anthropoides virgo
Desert Finch,Rhodospiza obsoleta
Desert Lark,Ammomanes deserti
Desert Wheatear,Oenanthe deserti
Desertas Petrel,Pterodroma deserta
Dunlin,Calidris alpina
Dunnock,Prunella modularis
Dupont's Lark,Chersophilus duponti
Eastern Bonelli's Warbler,Phylloscopus orientalis
Eastern Imperial Eagle,Aquila heliaca
Eastern Orphean Warbler,Curruca crassirostris
Eastern Rock Nuthatch,Sitta tephronota
Egyptian Vulture,Neophron percnopterus
Eleonora's Falcon,Falco eleonorae
Eurasian Bittern,Botaurus stellaris
Eurasian Blackbird,Turdus merula
Eurasian Blackcap,Sylvia atricapilla
Eurasian Blue Tit,Cyanistes caeruleus
Eurasian Bullfinch,Pyrrhula pyrrhula
Eurasian Buzzard,Buteo buteo
Eurasian Collared-dove,Streptopelia decaocto
Eurasian Crag Martin,Ptyonoprogne rupestris
Eurasian Crimson-winged Finch,Rhodopechys sanguineus
Eurasian Curlew,Numenius arquata
Eurasian Dotterel,Eudromias morinellus
Eurasian Eagle-owl,Bubo bubo
Eurasian Golden Oriole,Oriolus oriolus
Eurasian Golden Plover,Pluvialis apricaria
Eurasian Green Woodpecker,Picus viridis
Eurasian Hobby,Falco subbuteo
Eurasian Jackdaw,Corvus monedula
Eurasian Jay,Garrulus glandarius
Eurasian Magpie,Pica pica
Eurasian Nuthatch,Sitta europaea
Eurasian Oystercatcher,Haematopus ostralegus
Eurasian Penduline-tit,Remiz pendulinus
Eurasian Pygmy-owl,Glaucidium passerinum
Eurasian Scops-owl,Otus scops
Eurasian Siskin,Spinus spinus
Eurasian Skylark,Alauda arvensis
Eurasian Sparrowhawk,Accipiter nisus
Eurasian Spoonbill,Platalea leucorodia
Eurasian Thick-knee,Burhinus oedicnemus
Eurasian Tree Sparrow,Passer montanus
